stage,step,constraint_type,description,severity,failure_mode,mitigation,cost_estimate,time_estimate,source
Mixamo Rig,1_humanoid_only,constraint,"Mixamo supports HUMANOID BIPEDS ONLY — this is an absolute constraint with no workaround within Mixamo","CRITICAL","Non-humanoid model → Mixamo rejects → 0 animations available from Mixamo library","All characters in the ChatGPT→Meshy→Mixamo pipeline must be humanoid. Monster enemies with non-humanoid forms (spiders, dragons, etc.) need alternative rigging solution.",N/A (constraint not a cost),N/A,https://helpx.adobe.com/creative-cloud/faq/mixamo-faq.html
Mixamo Rig,2_feet_forward,requirement,Character's feet must point forward (not sideways) at export — this is a documented Mixamo requirement,MEDIUM,"Sideways feet → incorrect bone orientation → animations play incorrectly","Ensure generated characters have forward-facing feet. Check in Blender before Mixamo upload.",~$0 — pre-processing check,~5 min manual check,https://helpx.adobe.com/creative-cloud/faq/mixamo-faq.html
Mixamo Rig,3_origin_zeroed,requirement,"Character origin must be at X=0, Y=0, Z=0 before FBX export",LOW,"Offset origin → character appears displaced in animation","Standard FBX export practice. Set origin in Blender before export.",~$0,~1 min,https://helpx.adobe.com/creative-cloud/faq/mixamo-faq.html
Mixamo Rig,4_animation_library,coverage,"Mixamo has ~2500 total animations — combat/spell subset is limited compared to full library","MEDIUM — key gap","Limited spell/dodge animations → visual repetition across many archetypes","Supplement Mixamo with custom animations for key ARPG patterns (spell channel, charge-up, dodge roll). Mixamo provides base locomotion well; combat variants are thin.",N/A (Mixamo is free/Adobe CC),N/A,https://mocaponline.com/blogs/mocap-news/mixamo-alternatives-character-animations
Mixamo Rig,5_bone_structure,compatibility,Mixamo bones: Hips/Spine/Chest/Neck/Head/LeftUpperArm/LeftLowerArm/LeftHand/RightUpperArm/RightLowerArm/RightHand/LeftUpperLeg/LeftLowerLeg/LeftFoot/RightUpperLeg/RightLowerLeg/RightFoot,LOW (documented),"Bone name mismatch → Unity Humanoid Avatar setup required","Use Unity's Humanoid Avatar system to remap Mixamo bone names. Standard workflow — well-documented.",~$0,~5-15 min per character,https://discussions.unity.com/t/how-to-attach-mesh-some-item-ammo-objects-etc-to-mixamo-rigged-character-via-script/241930
Mixamo Rig,6_weapon_attachment,integration,"Mixamo does NOT have weapon socket bones — weapon attachment requires Unity Animation Rigging or manual bone parenting at runtime","MEDIUM","VFX that should attach to weapon or hand have no standard socket → manual parenting required","Use Unity's Multi-Parent constraint or Animation Rigging package to attach VFX to hand/weapon bones at runtime. Attach VFX GameObject as child of RightHand bone.",~$0 (Unity Animation Rigging is free package),~1-2 hours integration per character setup,https://discussions.unity.com/t/is-it-possible-to-attach-a-gun-to-a-mixamo-character-need-to-export-the-character-with-hand-sockets-available/192559
VFX Mapped,1_anchor_compatibility,integration,"Unity VFX packs use particle systems or VFX Graph — must attach to standard Mixamo bones (RightHand for cast effects, Body for auras, Ground for AOE)","MEDIUM","VFX requires non-standard bone anchor → manual rigging setup per effect","Design VFX attachment convention: (a) cast effects → RightHand bone; (b) aura/buff effects → Body/Chest bone; (c) AOE effects → ground-anchored (no bone parent). Document per asset.",~$0 (convention design),~30 min design once; 5 min per VFX attachment,https://blog.unity.com/technology/advanced-animation-rigging-character-and-props-interaction
VFX Mapped,2_render_pipeline,compatibility,"VFX packs must match project render pipeline (Built-in vs URP vs HDRP) — many packs only support subset","HIGH — key procurement constraint","Mismatched pipeline → VFX materials show pink/error — unusable without shader port","Only procure VFX packs compatible with project's chosen render pipeline. URP is recommended for cross-platform mobile-first (Reincarnated) deployment. Filter procurement to URP-compatible packs.",N/A (procurement constraint),N/A,multiple Unity Asset Store pages
VFX Mapped,3_scale_matching,quality,"Unity VFX packs designed at different scales — must verify scale compatibility with Mixamo humanoid (standard height ~1.8 Unity units)","MEDIUM","VFX appears too large or too small relative to character","Use scale multiplier on VFX prefab. Mixamo standard humanoid scale = approximately 1.8m height in Unity units. Test each VFX pack with reference character at session start.",~$0,~5-10 min per pack testing,general Unity knowledge
VFX Mapped,4_vfx_graph_vs_particle_system,compatibility,"Newer VFX Graph packs (like Summon Creatures Vol 1) require URP or HDRP — cannot use with Built-in pipeline","MEDIUM","VFX Graph packs fail in Built-in projects","If using Built-in pipeline: avoid VFX Graph packs. If using URP: both Particle System and VFX Graph packs work. URP recommended for Reincarnated.",N/A,N/A,https://assetstore.unity.com/packages/vfx/vfx-graph-summon-creatures-vol-1-250854
VFX Mapped,5_element_tagging,integration,"Each VFX must be tagged with its canonical element (fire/water/earth/wind/lightning/holy/shadow/physical) for substrate-filtering at generation time","LOW — data management","Missing element tags → wrong VFX spawned for wrong element kit → visual incoherence","Maintain VFX element manifest (JSON/CSV) mapping Unity prefab name → element tag. Wire into engine substrate-filtering layer.",~$0,~1 hour to create manifest; ~5 min per new pack added,dispatch commission specification
