game,class,skill_name,geometry,element,timing_pattern,defensive_offensive_role,signature_or_minor,geometry_fits_5_bins,unmapped_geometry_note,notes
Diablo 3,Wizard,Spectral Blade,small-AOE,arcane,instant,offensive,minor,yes,,"Short-range melee AOE arc. Small-AOE."
Diablo 3,Wizard,Energy Twister,persistent-ground,wind,sustained,offensive,minor,PARTIAL,"persistent roaming AOE — moving ground zone is not cleanly captured by static large-AOE","Spawns roaming twister that deals persistent damage. Moving persistent zone. Maps to multi-spawn (each twister instance) or large-AOE. Movement of the zone is unique."
Diablo 3,Demon Hunter,Multishot,multi-spawn,physical,instant,offensive,signature,yes,,"Fires multiple arrows in wide arc simultaneously. Multi-spawn (multi_projectile)."
Diablo 3,Demon Hunter,Chakram,multi-spawn,physical,instant,offensive,minor,yes,,"Throws spinning blades that ricochet. Multi-spawn + ricochet."
Diablo 3,Demon Hunter,Sentry,multi-spawn,physical,sustained,offensive,signature,PARTIAL,"totem/turret proxy — maps to Axis 2A proxy-light","Deploys automated turret. Totem/turret maps to Axis 2A proxy-light."
Diablo 3,Barbarian,Whirlwind,small-AOE,physical,channel/movement,offensive,signature,PARTIAL,"same as D2 Whirlwind — channel-move AOE","Channel-move AOE. See D2 note."
Diablo 3,Barbarian,Earthquake,large-AOE,physical/earth,delayed,offensive,signature,yes,,"Large AOE ground slam with aftershock. Large-AOE."
Diablo 3,Crusader,Blessed Hammer,multi-spawn,holy,instant,offensive,signature,PARTIAL,"same orbital geometry issue as D2 Paladin","Orbiting spiral hammers. Same orbital geometry concern as D2."
Diablo 3,Crusader,Laws of Valor,large-AOE,holy,sustained,offensive/support,signature,yes,,"Aura effect on party. Large-AOE (aura geometry)."
Diablo 3,Monk,Sweeping Wind,small-AOE,wind,sustained,offensive,signature,yes,,"Tornado aura around caster. Small-AOE sustained aura."
Diablo 3,Monk,Seven-Sided Strike,multi-spawn,physical,instant,offensive,signature,PARTIAL,"rapid teleport-strike pattern — multi-location instant strikes","Teleports to multiple enemies striking each. Multi-spawn in execution but each strike is single-target. Distinct 'dash-strike-on-multiple-targets' pattern — does not fit cleanly into any of the 5 bins."
Diablo 3,Witch Doctor,Haunt,single-target,dark,instant,offensive/DOT,minor,yes,,"Single-target persistent haunt. Single-target DOT."
Diablo 3,Witch Doctor,Spirit Barrage,single-target,dark,instant,offensive,minor,yes,,"Single-target spirit bolt. Single-target."
Diablo 3,Witch Doctor,Gargantuan,multi-spawn,dark/physical,instant,summoner,signature,PARTIAL,"summons powerful single proxy — Axis 2A proxy-light","Single powerful minion summon. Axis 2A proxy-light."
Diablo 4,Sorcerer,Frozen Orb,large-AOE,water/cold,instant,offensive,signature,yes,,"Large-AOE cold orb. Same as D2/D3 archetype."
Diablo 4,Sorcerer,Hydra,multi-spawn,fire,sustained,offensive,signature,PARTIAL,"multi-head fire proxy — Axis 2A proxy-light + Axis 2 multi-spawn overlap","Multi-headed fire-breathing hydra. Each head is a proxy entity (Axis 2A proxy-light) but also a multi-spawn of fire projectiles."
Diablo 4,Sorcerer,Chain Lightning,chain,lightning,instant,offensive,signature,yes,,"Chains to multiple nearby enemies. Chain bin."
Diablo 4,Necromancer,Bone Spear,single-target,physical,instant,offensive,signature,yes,,"Piercing bone projectile. Single-target."
Diablo 4,Necromancer,Corpse Explosion,large-AOE,physical,instant,offensive,signature,yes,,"Large-AOE corpse detonation. Large-AOE."
Diablo 4,Barbarian,Whirlwind,small-AOE,physical,channel/movement,offensive,signature,PARTIAL,"channel-move AOE — same pattern as D2/D3","Channel-move AOE."
Diablo 4,Druid,Pulverize,small-AOE,earth,instant,offensive,minor,yes,,"Werebear AOE slam. Small-AOE."
Diablo 4,Druid,Hurricane,large-AOE,wind,sustained,offensive,signature,yes,,"Persistent wind AOE. Large-AOE."
Diablo 4,Rogue,Twisting Blades,chain,physical/dark,instant,offensive,signature,yes,,"Blades impale then return to caster through enemies. Chain / projectile-return geometry."
Diablo 4,Rogue,Flurry,small-AOE,physical,instant,offensive,minor,yes,,"Close-range multi-hit AOE burst. Small-AOE."
Path of Exile,Witch (Elementalist),Arc,chain,lightning,instant,offensive,signature,yes,,"Lightning that chains to nearby enemies. Each chain can branch. Chain bin."
Path of Exile,Witch (Elementalist),Fireball,small-AOE,fire,instant,offensive,minor,yes,,"Projectile with AOE explosion on impact. Small-AOE."
Path of Exile,Witch (Elementalist),Detonate Dead,large-AOE,fire/chaos,instant,offensive,signature,yes,,"Detonates corpse in massive explosion. Large-AOE. Corpse resource mechanic."
Path of Exile,Witch (Summoner),Summon Skeletons,multi-spawn,physical,instant,summoner,signature,PARTIAL,"mass proxy spawn — Axis 2A proxy-heavy","Spawns army of skeleton minions. Axis 2A proxy-heavy."
Path of Exile,Witch (Summoner),Vaal Summon Skeletons,multi-spawn,physical,instant,summoner,signature,PARTIAL,"mass proxy spawn + skeleton general — Axis 2A proxy-heavy","Vaal variant: spawns skeleton army + skeleton general. Axis 2A proxy-heavy."
Path of Exile,Marauder (Juggernaut),Cyclone,small-AOE,physical,channel/movement,offensive,signature,PARTIAL,"channel-move AOE with channel-resource-drain","Channel-move spinning AOE. Same pattern as D2/D3 Whirlwind."
Path of Exile,Shadow (Saboteur),Detonate Mines,multi-spawn,fire/lightning,triggered,offensive,signature,PARTIAL,"detonation chain of pre-placed mines — triggered multi-spawn","Pre-placed mines detonated. Triggered multi-spawn with placement + detonation phases."
Path of Exile,Ranger (Pathfinder),Tornado Shot,multi-spawn,physical,instant,offensive,signature,yes,,"Fires arrow that spawns multiple secondary projectiles at impact. Multi-spawn."
Path of Exile,Witch (Occultist),Storm Brand,persistent-ground,lightning,sustained,offensive,signature,PARTIAL,"placed brand that auto-attacks — totem-like but attaches to enemies","Brand attaches to enemy and periodically hits. Neither ground-AOE nor pure totem — attaches to target. Does NOT fit cleanly into our 5 bins or totem geometry. FLAG."
Path of Exile,Shadow (Assassin),Flicker Strike,single-target,physical,instant,offensive/mobility,signature,PARTIAL,"teleport-strike to target — single target + mobility dash combined","Instant teleport to random target enemy + melee strike. Single-target damage but with mandatory mobility — teleport-strike pattern."
Path of Exile,Templar (Inquisitor),Consecrate,persistent-ground,holy,instant,support/offensive,minor,PARTIAL,"placed ground zone with dual effect (buff allies/damage enemies) — amplification geometry not in 5 bins","Consecrated ground: heals allies, damages chaos enemies. Dual-function zone. Maps to persistent-ground but amplification/valenced geometry is distinct."
Path of Exile,Ranger (Deadeye),Barrage,multi-spawn,physical,channel,offensive,signature,yes,,"Rapid multi-arrow barrage. Multi-spawn channel."
Path of Exile,Witch (Blood Mage),Viper Strike,single-target,dark,instant,offensive/DOT,minor,yes,,"Single-target poison melee. Single-target."
Last Epoch,Acolyte (Necromancer),Summon Skeleton,multi-spawn,physical,instant,summoner,signature,PARTIAL,"permanent proxy spawn — Axis 2A proxy-heavy","Permanent skeleton minions. Axis 2A proxy-heavy."
Last Epoch,Acolyte (Lich),Drain Life,single-target,dark,channel,offensive/sustain,signature,yes,,"Channel drain single target. Single-target channel with lifesteal."
Last Epoch,Sentinel (Void Knight),Erasing Strike,single-target,void/physical,instant,offensive,signature,yes,,"Powerful single-target melee void strike. Single-target."
Last Epoch,Sentinel (Void Knight),Rive,small-AOE,void/physical,instant,offensive,minor,yes,,"Short-range AOE slash. Small-AOE melee."
Last Epoch,Primalist (Beastmaster),Summon Sabertooth,multi-spawn,physical,instant,summoner,signature,PARTIAL,"single-companion proxy — Axis 2A proxy-light","Single powerful companion. Axis 2A proxy-light."
Last Epoch,Primalist (Shaman),Glacier,large-AOE,water/cold,instant,offensive,signature,yes,,"Large ice spike AOE. Large-AOE."
Last Epoch,Primalist (Shaman),Lightning Blast,chain,lightning,instant,offensive,minor,yes,,"Lightning that can chain. Chain bin."
Last Epoch,Mage (Sorcerer),Volcanic Orb,large-AOE,fire,instant,offensive,signature,yes,,"Rolling fireball AOE on ground. Large-AOE."
Last Epoch,Mage (Runemaster),Runic Invocation,large-AOE,neutral/arcane,channel,offensive,signature,PARTIAL,"rune combination system — geometry depends on rune combo; meta-layer above geometry selection","Combining runes produces different effects. The geometry emerges from combination. Mechanic-layer above geometry."
Last Epoch,Rogue (Bladedancer),Synchronized Strike,multi-spawn,physical/void,instant,offensive,signature,PARTIAL,"spawns shadow clone that mirrors attacks — multi-instance single-target","Shadow clone performs same attack. Multi-spawn but each instance is single-target. Clone/mirror mechanic."
Last Epoch,Sentinel (Forge Guard),Manifest Armor,multi-spawn,physical,instant,summoner/support,signature,PARTIAL,"animated armor companion — Axis 2A proxy-light","Animates nearby fallen armor as ally. Proxy-light."
Grim Dawn,Arcanist,Albrecht's Aether Ray,small-AOE/persistent-ground,arcane,channel,offensive,signature,PARTIAL,"beam channel — line/cone geometry sustained","Ray beam that deals continuous damage. Maps to beam_channel geometry. Not in 5 damage bins — beam is persistent-ground sub-type."
Grim Dawn,Arcanist,Olexra's Flash Freeze,large-AOE,water/cold,instant,offensive/control,signature,yes,,"Large AOE freeze. Large-AOE control."
Grim Dawn,Arcanist,Trozan's Sky Shard,multi-spawn,water/cold/lightning,delayed,offensive,signature,yes,,"Multiple shards fall from sky. Multi-spawn delayed."
Grim Dawn,Arcanist,Mirror of Ereoctes,single-target,arcane,instant,defensive/offensive,minor,PARTIAL,"reflects damage as arcane — Axis 4 dodger sub-type (reflection)","Reflects portion of damage. Axis 4 dodger reflection mechanic."
Grim Dawn,Occultist,Dreeg's Evil Eye,single-target,dark,instant,offensive/DOT,minor,yes,,"Single target projectile with acid/poison burst. Single-target."
Grim Dawn,Occultist,Possession (buff),aura,dark,sustained,support/offensive,minor,PARTIAL,"personal aura buff — not a damage geometry","Personal buff aura. Not Axis 2 geometry — maps to self_buff."
Grim Dawn,Inquisitor,Word of Pain,large-AOE,physical/lightning,instant,offensive,signature,yes,,"Large AOE with pain amplification. Large-AOE."
Grim Dawn,Inquisitor,Aura of Censure,large-AOE,holy/physical,sustained,support/offensive,minor,PARTIAL,"persistent debuff aura — large-AOE but aura sub-type","Persistent damage reduction aura. Maps to large-AOE (aura)."
Grim Dawn,Soldier (Commando),Forcewave,large-AOE,physical,instant,offensive,signature,yes,,"Ground shockwave forward. Large-AOE line/cone."
Grim Dawn,Soldier (Warlord),Blitz,single-target,physical,instant,offensive/mobility,signature,PARTIAL,"charge + single-target strike combined — same Flicker Strike pattern","Gap-closer charge attack. Teleport + single-target melee combined."
Path of Exile 2,Monk (Invoker),Tempest Flurry,small-AOE,lightning,instant/rapid,offensive,signature,yes,,"Rapid melee combo hits. Small-AOE close-range."
Path of Exile 2,Witch (Blood Mage),Siphoning Trap,persistent-ground,dark,triggered,offensive/sustain,minor,PARTIAL,"placed trap with sustained drain — multi-stage state machine geometry","Placed trap that drains life. Trap geometry — multi-stage (place/trigger/drain). Does NOT fit 5 bins cleanly."
Path of Exile 2,Stormweaver,Comet,multi-spawn,cold/lightning,instant,offensive,signature,yes,,"Multiple comet impacts. Multi-spawn delayed."
Path of Exile 2,Stormweaver,Orb of Storms,persistent-ground,lightning,sustained,offensive,signature,PARTIAL,"persistent placed orb that chains to nearby enemies — hybrid persistent-ground + chain","Orb chains lightning to nearby enemies. Hybrid geometry: persistent-ground + chain. Does not fit cleanly — FLAG."
