axis,bin_label,substrate_required,substrate_current_estimate,gap_flag,notes,source_path
2_geometry,multi-spawn,~5 templates,2-3 (multi_projectile + totem + some VFX-approximations),PARTIAL,"multi_projectile fires simultaneous radial projectiles. totem is a placed entity that pulses. No true 'meteor shower' or 'skeleton army spawn' geometry at current solo-sim scope. is_multi_spawn metadata flag not present.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
2A_proxy,solo,~5 configs,5+ (all current archetypes),LIKELY_OK,"All current generation produces solo-only kits by design (solo gameplay constraint). Proxy sim deferred. Solo bin heavily populated.",reincarnated-engine/src/reincarnated/generation/b6_archetype_templates.py
2A_proxy,proxy-light,~5 configs,0 (deferred — no proxy sim),DEFERRED_GAP,"Totem geometry exists but ally AI / proxy entity lifecycle not implemented in sim. All proxy-light bins route to deferred-evaluation pool. Generation-side: totem + ally_target geometries exist as staged types. Sim-side: zero support.",canonical/story/qd-engine-bc-axes-lock-2026-05-20.md §3.3
2A_proxy,proxy-heavy,~5 configs,0 (deferred — no proxy sim),DEFERRED_GAP,"summon_combatant geometry staged but excluded from active generation. No multi-actor sim. Full deferral.",canonical/09-geometry-palette-discussion.md
2B_control,damage-pure,~5 configs,3-5 (warrior/hunter archetypes; mages without control role),LIKELY_OK,"Multiple archetype templates explicitly exclude or minimize control role. Damage-pure is the default for warrior/hunter/damage-mage.",reincarnated-engine/src/reincarnated/generation/b6_archetype_templates.py
2B_control,mixed,~5 configs,3-5 (grappler + some elemental mages with CC ailments),LIKELY_OK,"All rotating elements carry a control ailment (root/chill/knockback/burn). Mixed control emerges naturally from elemental mages with moderate CC ailment rates. Grappler archetype template explicitly requires control role.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
2B_control,control-pure,~5 configs,2-3 (earth/water controller mage variants),PARTIAL,"Controller archetype orientation exists in generation but no dedicated 'control-pure' archetype template. Control role is assigned in templates but typically co-exists with damage. Pure control coverage thin. CC ailment variety: burn (dot/no-control), chill (soft), root (hard), knockback (hard), shock (hard), silence (hard). 6 distinct CC types — enough variety if archetype templates scale up control role.",config/ailments.yaml
3A_tempo,low,~5 configs,2-4 (charge + heavy cooldown abilities),PARTIAL,"charge timing (min_charge / max_charge_seconds) exists in ability_grammar. Delayed timing exists. High-cooldown single-target skills qualify. Generator produces these but no explicit archetype template enforces low-tempo kit composition.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py _sample_timing
3A_tempo,medium,~5 configs,5+ (most rotation-based mage kits),LIKELY_OK,"Standard mana-cost rotation pattern produces medium tempo naturally. Most elemental kits land here.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
3A_tempo,high,~5 configs,2-3 (hunter focus + warrior rage spam),PARTIAL,"Hunter focus-based rapid-fire and warrior rage builds generate high event rates. Per-event damage-application logging not confirmed in sim telemetry — BC measurement requires this.",reincarnated-engine/src/reincarnated/simulation/fight_engine.py
3B_variance,flat,~5 configs,3-5 (channel/sustained builds; hunter strafe),LIKELY_OK,"Channel timing produces sustained flat damage. Hunter rapid-fire produces flat multi-hit pattern. Frozen Orb equivalent (persistent_zone multi-hit) produces flat.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
3B_variance,variable,~5 configs,3-5 (rotation builds with cooldown spikes),LIKELY_OK,"Standard mana mage rotation naturally produces variable variance — primary attack spam + burst_damage cooldown spikes. Most archetype templates cover this.",reincarnated-engine/src/reincarnated/generation/b6_archetype_templates.py
3B_variance,spiky,~5 configs,1-3 (charge-release + big cooldown builds),PARTIAL,"charge timing mechanic generates spiky output. Archetype templates don't explicitly target spiky variance — it emerges from charge skills. Per-event magnitude logging not confirmed in sim telemetry.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py _sample_timing
4_defensive,tank,~5 configs,1-2 (warrior high-HP builds),GAP,"shield effect exists in ability_grammar. self_buff with defense buff exists. But no explicit eHP_effective computation in sim — shield_pool tracking distinct from HP unconfirmed. Warrior archetypes lean toward high stat allocation but actual tank bin coverage is unclear without sim verification.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py _make_effect
4_defensive,mitigator,~5 configs,2-3 (lifesteal + shield buff builds),PARTIAL,"lifesteal effect exists. buff_defense exists. heal_over_time exists. Active mitigation coverage exists in grammar but sim measurement of mitigation_fraction unconfirmed. HoT distinct from mitigation likely not currently tracked separately.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
4_defensive,dodger,~5 configs,1-2 (hunter with roll + evasion stack),GAP,"dodge_stance and roll geometry exist in B13 suite. buff_dodge buff effect exists. However: stealth/iframe/reflection sub-cases all deferred. Evasion-rate probabilistic case may work; full dodger bin sparsely covered. avoidance_rate measurement not confirmed in sim.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py VALID_GEOMETRIES
4_defensive,glass,~5 configs,2-4 (aggressive damage mage builds; no defensive role),LIKELY_OK,"Many archetypes have no or minimal defensive role assigned — these naturally cluster in glass bin. Glass is the 'no-defense' default for damage-primary builds.",reincarnated-engine/src/reincarnated/generation/b6_archetype_templates.py
5_economy,HP-economy,~7 templates,0 (not generated),GAP,"No HP-cost skill mechanic exists in current generation. cost_type field not on Ability schema — only energy_cost numeric exists with no type tag. No Blood Magic equivalent generated.",reincarnated-engine/src/reincarnated/generation/ability_schema.py
5_economy,charge-stack,~7 templates,1 (charge timing only — not charge pool),PARTIAL,"charge timing (build-to-release) exists as AbilityTiming name. But charge-stack as a kit-level economy (PoE Frenzy charges with stack cap, decay, build-and-maintain pattern) is not implemented. No charge_cap or charge_decay fields exist. Significant gap.",reincarnated-engine/src/reincarnated/generation/ability_schema.py
5_economy,damage-taken-converts,~7 templates,0 (not generated),GAP,"No damage-to-resource conversion mechanic exists. No CWDT-style trigger on incoming damage. Full deferral.",canonical/story/qd-engine-bc-axes-lock-2026-05-20.md §3.8
5_economy,starved,~7 templates,2-4 (early-game mana builds; combo spenders),LIKELY_OK,"Mana cost system exists. High cost + limited regeneration naturally produces starved pattern. Combo energy type (builds combo, spends on burst) produces starved-to-overflow cycle. Statistical measurement depends on per-tick resource logging.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py _get_energy_cost
5_economy,overflow,~7 templates,2-4 (rage builds post-buildup; aura-paladin equivalents),LIKELY_OK,"Rage builds up during combat and can overflow. Aura geometry (sustained, no per-cast cost) approximates overflow. Multiple kit types likely land here.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
5_economy,generator-spender,~7 templates,3-5 (combo + focus + rage archetypes),LIKELY_OK,"Combo energy type explicitly implements generator-spender: primary_attack builds combo (cost=0), burst/area_damage spends (cost=3). Rage also qualifies. Focus builds spend on primary attacks. Well-represented.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py _get_energy_cost
5_economy,steady,~7 templates,2-4 (mana builds with regeneration; stamina builds),LIKELY_OK,"Standard mana builds with balanced cost-to-regen approximate steady. Stamina-as-resource archetype likely lands here. Multiple archetypes qualify.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
