source_name,url,category,genres,est_capacity,access_method,license_likely,robots_status,claude_agent_explicit,crawl_delay_seconds,priority_for_floor,notes
Wikimedia Commons Category:Weapons,https://commons.wikimedia.org/wiki/Category:Weapons,image-library,"historical-museum;historical-academic;fantasy-rpg;regional;mythological",5K-20K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,1,"Primary image source for weapon reference images. Dump-based access; bulk structured image metadata per weapon articles. Already in Track A1 image enrichment. CC-BY-SA license on media; metadata CC0. Good for reference images to attach to weapon_knowledge_entries."
Met Museum Open Access API (Arms & Armor),https://collectionapi.metmuseum.org/public/collection/v1/objects?departmentIds=4,historical-museum,"historical-museum;historical-academic",5K-20K,rest-api,CC0,GREEN,unlisted,none,1,"13753 objects in Arms & Armor department (departmentId=4) per live API query. Full Met Open Access = 471K objects CC0. API endpoint at collectionapi.metmuseum.org does NOT have the same ClaudeBot block as metmuseum.org site crawl (API subdomain returned 404 on robots.txt). Confirmed CC0 for open access objects. Rich metadata: culture, period, medium, dimensions, images. HIGH PRIORITY — large, CC0, structured, rich."
Smithsonian Open Access API (api.si.edu),https://api.si.edu/openaccess/api/v1.0/search,historical-museum,"historical-museum;historical-academic;regional",1K-5K,rest-api,CC0,GREEN,unlisted,none,1,"BLOCKED on Matt providing API key (registered at api.data.gov). CC0 all items. Estimated 100-400 weapon-specific items in 3D digitization + millions in 2D Open Access. Cultural authority: Japanese swords, Native American, African, Islamic arms. Already Track A2. Museum-grade structured metadata. HIGH PRIORITY once key obtained."
Royal Armouries (collections.royalarmouries.org),https://royalarmouries.org/,historical-museum,"historical-museum;historical-academic",1K-5K,https-crawl,proprietary,GREEN-with-caution,unlisted,20,3,"robots.txt: Crawl-delay: 20 seconds; ClaudeBot not blocked. Estimated 1K-5K historical weapons. Already Track A3. Slow (~180 entries/hour). Rich historical detail. No API; HTTPS crawl only."
Pitt Rivers Museum (Oxford) Arms & Armour,https://web.prm.ox.ac.uk/weapons/,historical-museum,"historical-museum;historical-academic;regional",1K-5K,https-crawl,CC-BY,GREEN-with-caution,unlisted,10,"200 virtual highlights from 12000+ catalogued arms. 10s crawl-delay in robots.txt. ClaudeBot not blocked. Web-only; no API. Data from 2006-8 digitization project. Contact: objects.colls@prm.ox.ac.uk for bulk data. UK museum — strong non-European coverage (Africa, Pacific, Americas). Est: 200 highlights page; contact for full 12K."
Penn Museum Digital Collections,https://www.penn.museum/collections/,historical-museum,"historical-museum;historical-academic;regional",1K-5K,https-crawl,CC-BY,AMBER,unlisted,none,3,"389000+ object records; weapons subcategory unknown. No dedicated public API found. Web search only. AMBER: robots.txt not directly checked. Near-East, Mediterranean, Egyptian, American archaeology collections — relevant for ancient weapons. High-effort crawl."
British Museum Collection SPARQL,http://collection.britishmuseum.org/sparql,historical-museum,"historical-museum;historical-academic;regional",1K-5K,sparql,CC-BY,GREEN-with-caution,unlisted,20,"2M+ objects modeled in CIDOC RDF. SPARQL endpoint public. ClaudeBot not blocked in site robots (20s crawl-delay applies to main site). Endpoint for structured query. British Museum holds global weapons collections. Weapon-specific count requires SPARQL query. CC-BY on metadata."
Louvre Collections (images restricted),https://collections.louvre.fr/en/,historical-museum,"historical-museum;historical-academic;regional",1K-5K,https-crawl,proprietary,GREEN-with-caution,blocked,none,3,"500K+ artworks online. ClaudeBot blocked only from image extensions (.jpg .jpeg .png .webp) per robots.txt — NOT from metadata pages. Metadata text accessible. Weapon-specific collection count unknown. Arms and weapons in French/European and Islamic galleries. No API. HTTPS crawl for metadata OK; images blocked."
Imperial War Museum (IWM),https://www.iwm.org.uk/collections/search,historical-museum,"historical-museum;historical-academic;modern-military",5K-20K,https-crawl,CC-BY,GREEN,unlisted,none,3,"1.7M+ object records. 1M+ objects online. Firearms, ammunition, military weapons WWI-present. No ClaudeBot block found. No API documented. Web-based search. UK military museum — strong modern firearms + historical arms coverage. High volume but crawl-only."
Europeana API (metadata),https://pro.europeana.eu/page/intro,historical-museum,"historical-museum;historical-academic;regional",5K-20K,rest-api,CC0,AMBER,unlisted,none,3,"Aggregates museum data across Europe. Metadata CC0. API key required (free registration). OAI-PMH + REST API. Weapons query would cover pan-European museum holdings. 403 on API probe without key; AMBER until key obtained. High potential for diverse European arms."
Wikidata SPARQL (fictional weapons),https://query.wikidata.org/sparql,bibliographic,"fantasy-rpg;sci-fi-canonical;mythological",1K-5K,sparql,CC0,GREEN,unlisted,none,2,"Separate SPARQL query for fictional weapons (P31=fictional weapon, legendary weapon, mythological weapon). Subset of 13134 total. Covers Tolkien weapons, Star Wars, mythological named weapons (Excalibur, Mjolnir, Kusarigama etc). CC0 metadata. Same endpoint as Track A1."
Wikipedia List of Magical Weapons,https://en.wikipedia.org/wiki/List_of_magical_weapons,bibliographic,"mythological;fantasy-rpg",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"110-130 entries across Greek/Norse/Indian/Irish/Chinese/Japanese/Arthurian/Tolkien/D&D mythologies. Best accessed via Wikipedia XML dump (already in Track A1 scope). Direct URL as reference."
Wikipedia List of Premodern Combat Weapons,https://en.wikipedia.org/wiki/List_of_premodern_combat_weapons,historical-academic,"historical-academic",1K-5K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,2,"700+ individual weapons pre-16th century. Hand-to-hand (300+), thrown, gunpowder (80+), bows, crossbows, slings. Best via dumps. Already in Track A1 scope."
Wikipedia List of Firearms,https://en.wikipedia.org/wiki/List_of_firearms,historical-academic,"historical-academic;modern-military",1K-5K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,2,"Large structured list of real-world firearms by type and country. Via Wikipedia dumps. Estimated 1K+ distinct entries across all subcategories."
Pathfinder 1e Archives of Nethys (aonprd.com),https://aonprd.com/EquipmentWeapons.aspx,fantasy-rpg-canonical,"fantasy-rpg",1K-5K,https-crawl,OGL,AMBER,unlisted,none,2,"Pathfinder 1e complete weapon database: base weapons + magic weapons. robots.txt returns 404 (no robots.txt). OGL content. AMBER: no explicit robots policy. Large content: hundreds of base weapons + thousands of magic weapon variants. High-value RPG content."
Pathfinder 2e Archives of Nethys (2e.aonprd.com),https://2e.aonprd.com/Weapons.aspx,fantasy-rpg-canonical,"fantasy-rpg",1K-5K,https-crawl,OGL,AMBER,unlisted,none,2,"Pathfinder 2e weapon database. No robots.txt (404). OGL content. AMBER. Hundreds of base weapons + equipment. Same status as 1e."
d20pfsrd.com (Pathfinder SRD),https://www.d20pfsrd.com/,fantasy-rpg-community,"fantasy-rpg",1K-5K,https-crawl,OGL,GREEN,unlisted,0,"ClaudeBot not blocked. crawl-delay: 0. WordPress-based. OGL content republished. Pathfinder + D&D content. Significant weapon coverage."
D&D Beyond (OGL portion only),https://www.dndbeyond.com/,fantasy-rpg-canonical,"fantasy-rpg",100-1K,https-crawl,OGL,AMBER,unlisted,none,4,"ClaudeBot not blocked in robots.txt. But mostly paid/closed content. OGL SRD portion only is free-use. Low value vs dnd5eapi.co which already covers SRD. AMBER: closed content licensing concern."
Halopedia (halo.wiki),https://www.halopedia.org/Weapons,sci-fi-canonical,"sci-fi-canonical",100-1K,https-crawl,CC-BY-SA,GREEN,unlisted,1,"1s crawl-delay. ClaudeBot not blocked. 16725 total articles; weapons subsection. Halo lore weapons (UNSC + Covenant + Forerunner). CC-BY-SA content. Crawlable with 1s delay."
Warhammer 40K Lexicanum,https://wh40k.lexicanum.com/wiki/Category:Weapons,sci-fi-canonical,"sci-fi-canonical",1K-5K,https-crawl,proprietary,GREEN-with-caution,unlisted,5,"5s crawl-delay. ClaudeBot not blocked. Category:Weapons: Power Weapons 446 pages; Space Marines 548; Chaos 254; Eldar 200; Projectile 184; Imperium 232. Total unique weapon articles estimated 1000-2000 (cross-listed). Proprietary GW content. Note: for knowledge-DB indexing (names/descriptions) not commercial redistribution."
Lexicanum (Age of Sigmar + Fantasy),https://ageofsigmar.lexicanum.com/wiki/Main_Page,sci-fi-canonical,"fantasy-rpg;sci-fi-canonical",1K-5K,https-crawl,proprietary,AMBER,unlisted,5,"Age of Sigmar + Old World Warhammer Fantasy weapons. Assume similar 5s crawl-delay as wh40k.lexicanum.com. Not verified separately."
Fextralife (Elden Ring wiki),https://eldenring.wiki.fextralife.com/Weapons,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,https-crawl,CC-BY-SA,GREEN-with-caution,unlisted,none,2,"robots.txt: ClaudeBot NOT blocked (only GPTBot blocked). No crawl-delay. 308 base weapons + 100 Shadow of the Erdtree DLC weapons = 408 total Elden Ring weapons. CC-BY-SA content. Crawl OK with conservative rate. Rich metadata: damage type, scaling, requirements, lore."
Fextralife (Dark Souls 1 wiki),https://darksouls.wiki.fextralife.com/Weapons,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,https-crawl,CC-BY-SA,GREEN-with-caution,unlisted,none,2,"Same Fextralife robots policy (ClaudeBot not blocked). ~120 Dark Souls 1 weapons."
Fextralife (Dark Souls 3 wiki),https://darksouls3.wiki.fextralife.com/Weapons,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,https-crawl,CC-BY-SA,GREEN-with-caution,unlisted,none,2,"Same Fextralife robots policy. ~190 Dark Souls 3 weapons."
Fextralife (Bloodborne wiki),https://bloodborne.wiki.fextralife.com/Weapons,game-data-soulslike,"game-specific;fantasy-rpg",<100,https-crawl,CC-BY-SA,GREEN-with-caution,unlisted,none,3,"Same Fextralife robots policy. ~25 trick weapons (each has two forms = ~50 forms effectively)."
ERDB (Elden Ring Database JSON),https://api.erdb.wiki,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,rest-api,MIT,GREEN,unlisted,none,2,"MIT license. REST API at api.erdb.wiki. CLI tool parses Elden Ring game installation. All weapon properties in JSON. Auto-generated from game files. Active development. Git-cloneable from github.com/EldenRingDatabase/erdb."
EKarpinsky/EldenRingWeapons,https://github.com/EKarpinsky/EldenRingWeapons,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,git-clone,unknown,GREEN,unlisted,none,3,"Single weapons.json file. No explicit license on page. Smaller/simpler than erdb. GitHub = GREEN access."
deliton/eldenring-api,https://github.com/deliton/eldenring-api,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,rest-api,unknown,GREEN,unlisted,none,3,"NextJS + GraphQL API from static JSON. No explicit license found. Data at /api/public/data/. REST + GraphQL."
Monster Hunter World API (mhw-db.com),https://mhw-db.com/weapons,game-data-monster-hunter-like,"game-specific;fantasy-rpg",1K-5K,rest-api,unknown,GREEN,unlisted,none,2,"1305 total MHW weapons per community source. 14 weapon types. REST API + JSON. License unclear (game data from Capcom; community-assembled). api.mhw-db.com is the endpoint."
gatheringhallstudios/MHWorldData,https://github.com/gatheringhallstudios/MHWorldData,game-data-monster-hunter-like,"game-specific;fantasy-rpg",1K-5K,git-clone,MIT,GREEN,unlisted,none,2,"MIT license (code). Data owned by Capcom but community-extracted and structured. CSV + SQLite. 14 weapon types; 1300+ weapon tree entries. weapon_base.csv exists in repo."
Kiranico (Monster Hunter Rise),https://mhrise.kiranico.com/data/weapons,game-data-monster-hunter-like,"game-specific;fantasy-rpg",1K-5K,https-crawl,proprietary,GREEN,unlisted,none,3,"robots.txt: Disallow empty (full access to all). ClaudeBot not blocked. MHR weapon database with full tree. Large but page-by-page crawl only."
Guild Wars 2 API (items endpoint),https://api.guildwars2.com/v2/items,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,rest-api,proprietary-but-redistributable,GREEN,unlisted,none,2,"10000+ total item IDs per live probe of /v2/items endpoint (truncated; full count unknown but community reports ~14000+ IDs). Filter by type=Weapon for weapon subset. GW2 API is officially public; no auth needed for public data. ArenaNet allows community use. 19 weapon types."
XIVAPI (Final Fantasy XIV),https://xivapi.com/,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,rest-api,proprietary-but-redistributable,AMBER,unlisted,none,2,"23500 total FFXIV items per community reports. Weapons as subset by ItemSearchCategory filter. xivapi.com robots.txt returns content-signal policy (not standard robots.txt); ClaudeBot status ambiguous. Community API built on FFXIV datamining. No auth required for basic search."
Garland Tools Database (FFXIV),https://garlandtools.org/db/,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,rest-api,proprietary-but-redistributable,AMBER,unlisted,none,3,"FFXIV comprehensive database. Unofficial Node wrapper available. data() function returns all game data index. Weapons subset queryable. Same licensing concern as XIVAPI (Capcom/SE data)."
WoW Classic Items (GitHub),https://github.com/nexus-devs/wow-classic-items,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,git-clone,MIT,GREEN,unlisted,none,2,"MIT license. JSON data files. WoW Vanilla/TBC/WotLK Classic items. Filter by class=Weapon. Sourced from Wowhead + Blizzard API. GitHub = GREEN. WoW weapons: estimated 3000-8000 across all classic versions."
WoW Items Kaggle Dataset,https://www.kaggle.com/datasets/trolukovich/world-of-warcraft-items-dataset,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,static-download,CC-BY,AMBER,unlisted,none,2,"65893 WoW items dataset by category. CSV. Weapons subset. Kaggle robots.txt returned 404 = AMBER. CC-BY license on dataset. Pre-extracted; no crawl needed. High yield for WoW weapons."
Pathfinder / D&D Data (jcquinlan/dnd5-weapons-json),https://github.com/jcquinlan/dnd5-weapons-json,fantasy-rpg-community,"fantasy-rpg",100-1K,git-clone,OGL,GREEN,unlisted,none,3,"D&D 5e weapons + homebrew from D&D Wiki. OGL for official; GNU FDL for homebrew. JSON format. GitHub = GREEN."
Path of Exile (RePoE),https://github.com/brather1ng/RePoE,game-data-arpg,"game-specific;fantasy-rpg",1K-5K,git-clone,MIT,GREEN,unlisted,none,2,"MIT license (code); GGG owns underlying data. JSON base_items.json contains all PoE base item types including weapons. Active project. Comprehensive PoE weapon base stats. GitHub = GREEN."
Path of Exile GGG API,https://www.pathofexile.com/developer/docs,game-data-arpg,"game-specific;fantasy-rpg",1K-5K,rest-api,proprietary-but-redistributable,GREEN,unlisted,none,2,"Official GGG developer docs. Public JSON API. pathofexile.com robots.txt: ClaudeBot not listed; only bingbot has crawl-delay. /api/data/items endpoint documented. Community tools confirm 1000+ base item types."
Diablo 2 Resurrected JSON Data (blizzhackers/d2data),https://github.com/blizzhackers/d2data,game-data-arpg,"game-specific;fantasy-rpg",100-1K,git-clone,MIT,GREEN,unlisted,none,3,"MIT license. Diablo 2 Resurrected 3.0 .txt file data converted to JSON. Weapons included. MIT on code; Blizzard owns underlying data. GitHub = GREEN."
Destiny 2 Bungie API,https://bungie-net.github.io/,game-data-fps,"game-specific;sci-fi-canonical",1K-5K,rest-api,proprietary-but-redistributable,AMBER,unlisted,none,3,"Official Bungie API. API key required (free). Weapons endpoint available. light.gg returns 403 (ClaudeBot blocked). Bungie API site itself: AMBER (need robots check). Destiny 2 has 1000+ unique weapon items across all seasons."
SWAPI (Star Wars API),https://swapi.dev/,sci-fi-canonical,"sci-fi-canonical",<100,rest-api,CC-BY,AMBER,unlisted,none,4,"Star Wars API. Covers starships/vehicles/planets/people — NOT specifically weapons catalogue. Certificate expired on swapi.dev. Alternatives: swapi.info or swapi.tech. Low weapon-specific yield. Only ~100 named SW weapons in structured data."
Star Wars Databank API,https://starwars-databank.vercel.app/,sci-fi-canonical,"sci-fi-canonical",100-1K,rest-api,unknown,GREEN,unlisted,none,3,"REST API for hundreds of characters/droids/species/vehicles. Weapons section unclear. Community-built. License unknown."
GTA V Data Dumps (DurtyFree),https://github.com/DurtyFree/gta-v-data-dumps,game-data-fps,"game-specific;modern-military",100-1K,git-clone,unknown,GREEN,unlisted,none,3,"184 GTA V weapons with 479 components per weapons.json. JSON format. GitHub = GREEN. No explicit license. Rockstar data. Useful for modern/sci-fi firearms."
Cataclysm: Dark Days Ahead (CDDA),https://github.com/CleverRaven/Cataclysm-DDA,game-data-other,"game-specific;modern-military;fantasy-rpg",1K-5K,git-clone,CC-BY-SA,GREEN,unlisted,none,2,"CC-BY-SA 3.0 license. JSON data files under data/json/items/. Guns in gun/ subfolder; melee weapons in melee/; ammo in ammo/. Post-apocalyptic; extensive modern firearms + melee + improvised weapon catalogue. Estimated 1000-3000 weapon items. High yield for modern-military and improvised weapons."
Rainbow Six Siege Data (ISimpForVi/Siege-Data),https://github.com/ISimpForVi/Siege-Data,game-data-fps,"game-specific;modern-military",100-1K,git-clone,unknown,GREEN,unlisted,none,4,"weapons.json in Siege-Data repo. JSON format. No explicit license. Modern military firearms (R6S assets). Small but clean structured data."
BSData/warhammer-age-of-sigmar,https://github.com/BSData/warhammer-age-of-sigmar,fantasy-rpg-canonical,"fantasy-rpg",1K-5K,git-clone,unknown,GREEN,unlisted,none,3,"BattleScribe XML catalog files for AoS 3.x. Community-maintained. Weapon profiles in XML format (needs parser). No explicit license (community project, GW content). Weapon count: all 4 factions x many units = estimated 500-2000 weapon profiles."
Warhammer AoS REST API (brittonhayes),https://github.com/brittonhayes/warhammer-aos,fantasy-rpg-canonical,"fantasy-rpg",100-1K,rest-api,unknown,GREEN,unlisted,none,3,"Free public REST API for AoS data. Go+Lambda. JSON weapon profiles with name/range/attacks/to_hit/to_wound/rend/damage. Limited to published units in API. GitHub = GREEN."
Tolkien Gateway (weapons category),https://tolkiengateway.net/wiki/Category:Weapons,fantasy-rpg-canonical,"fantasy-rpg;mythological",<100,https-crawl,CC-BY-SA,AMBER,unlisted,none,3,"403 on robots.txt probe. Tolkien-licensed fan wiki (CC-BY-SA). Weapons category: named Middle-earth weapons (Sting, Glamdring, Andúril, Orcrist etc). Small (<100 named weapons) but high mythological/canonical value."
LOTR Fandom wiki (weapons),https://lotr.fandom.com/wiki/Weapons,fantasy-rpg-canonical,"fantasy-rpg;mythological",<100,https-crawl,CC-BY-SA,AMBER,unlisted,none,4,"Fandom-hosted LOTR wiki. ClaudeBot status: 403 on Fandom robots probe. AMBER (may be RED if Fandom-global block applies). Small weapon count. Low priority given uncertainty."
Encyclopedia Mythica (pantheon.org),https://pantheon.org/,other,"mythological",100-1K,https-crawl,proprietary,GREEN,unlisted,none,3,"Thousands of mythology articles. ClaudeBot not blocked (robots.txt: Disallow /static/ only). Weapon entries scattered within deity/creature articles. No dedicated weapon category. Estimated 200-500 weapon references. Manual extraction challenging."
Wikipedia List of Mythological Objects,https://en.wikipedia.org/wiki/List_of_mythological_objects,bibliographic,"mythological;fantasy-rpg",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,2,"Wikipedia article covering mythological weapons/objects across all traditions. Accessible via Wikipedia dumps (Track A1 scope). Complements List of Magical Weapons."
Theoi.com (Greek Mythology),https://www.theoi.com/,other,"mythological",100-1K,https-crawl,proprietary,AMBER,unlisted,none,3,"1500+ pages on Greek mythology. robots.txt returns content-signal page not standard robots.txt. ClaudeBot status unknown. Weapon references embedded in deity articles (Hephaestus-crafted weapons etc). Manual extraction. Estimate 100-300 named Greek weapons/artifacts."
Wiktenauer (HEMA manuscripts),https://wiktenauer.com/,historical-academic,"historical-academic",100-1K,https-crawl,CC-BY-SA,RED,blocked,none,5,"BLOCKED: ClaudeBot Disallow: / explicitly in robots.txt. Primary sources for HEMA (longsword/rapier/dagger/polearm manuals). CC-BY-SA content. Cannot crawl. Alternative: contact directly for data dump or use from non-Claude agent."
HEMA Alliance resources,https://www.hemaalliance.com/,historical-academic,"historical-academic",<100,https-crawl,unknown,AMBER,unlisted,none,5,"HEMA Alliance organization site. AMBER (robots not checked). Low structured weapon data; primarily organizational."
HROARR (HEMA community),https://hroarr.com/,community-editorial,"historical-academic",<100,https-crawl,unknown,AMBER,unlisted,none,5,"Free HEMA magazine. Low structured weapon-catalogue value. Articles rather than database."
Oakeshott Institute (sword typology),https://oakeshott.org/sword-typology/,community-editorial,"historical-academic",<100,https-crawl,proprietary,AMBER,unlisted,none,4,"robots.txt returned empty (connection refused or no content). Oakeshott sword typology reference: Types X-XXII (13-24 type classifications). Very small structured data but high academic authority. Manual extraction."
myArmoury.com (comparison tool),https://myarmoury.com/,community-editorial,"historical-academic",100-1K,https-crawl,proprietary,GREEN,unlisted,none,2,"250 reviews with complete measurements and stats per comparison tool. robots.txt GREEN (no ClaudeBot block; only phpdig and personal subdomains blocked). Already listed above but noting the comparison tool is the key data feature. Main crawl target: /feature_*.html and review pages."
Small Arms Survey Weapons ID Database,https://www.smallarmssurvey.org/databases,historical-academic,"historical-academic;modern-military",100-1K,static-download,CC-BY,GREEN,unlisted,none,3,"Visual identification sheets for real-world small arms. PDF downloads. Downloadable Weapons ID Sheets. ClaudeBot not blocked (Drupal robots.txt with no AI blocks). Structured by weapon type. Est 100-500 weapon types with ID data."
Army Recognition military weapons DB,https://www.armyrecognition.com/military-products/army/weapons,historical-academic,"historical-academic;modern-military",1K-5K,https-crawl,proprietary,GREEN,unlisted,none,3,"Modern world weapons database: technical data, fact sheets, pictures, video. Joomla-based site. ClaudeBot not blocked in robots.txt. Army/Navy/Air weapons. Estimated 1K-5K weapon entries with technical specs. Proprietary but informational."
Global Military Firearms Database,https://www.globalmilitary.net/firearms/,historical-academic,"historical-academic;modern-military",100-1K,https-crawl,proprietary,GREEN,unlisted,none,4,"300+ weapons from 40+ countries with complete specs. ClaudeBot not blocked (robots.txt: only AhrefsBot and ia_archiver blocked). Sniper rifles, assault rifles, machine guns, pistols, shotguns. Small but structured modern military focus."
Firearms Guide (firearmsguide.com),https://firearmsguide.com/,historical-academic,"historical-academic;modern-military",20K-100K,https-crawl,proprietary,GREEN,unlisted,none,3,"84000+ antique and modern guns in searchable global database. ClaudeBot not blocked. Paid subscription required for full access (industry tool). Free preview limited. High yield but paywall barrier."
Internet Movie Firearms Database (IMFDB),https://www.imfdb.org/,community-editorial,"historical-academic;modern-military;game-specific",5K-20K,https-crawl,CC-BY-SA,RED,unlisted,none,5,"BLOCKED: Cloudflare WAF blocks agent before robots.txt fetch. Effective RED. Large gun identification database for film/TV/games. Cannot access."
WeaponSystems.net,https://weaponsystems.net/,historical-academic,"historical-academic;modern-military",<100,https-crawl,proprietary,RED,unlisted,none,5,"DEAD: Domain suspended per probe. No content accessible. Remove from candidates."
Open Game Art (3D weapons),https://opengameart.org/,3d-model-library,"fantasy-rpg;sci-fi-canonical;game-specific",100-1K,https-crawl,CC0,GREEN-with-caution,unlisted,10,1,"389 3D weapon entries; CC0 subset 100+. 10s crawl-delay. ClaudeBot not blocked. Already Track B."
Sketchfab (CC0+CC-BY weapons),https://sketchfab.com/,3d-model-library,"fantasy-rpg;sci-fi-canonical;historical-museum;regional",1K-5K,rest-api,CC-BY,GREEN,unlisted,none,1,"2570 CC-licensed weapon models (CC0+CC-BY subset ~1177). API available. Already Track B."
Kenney.nl (weapon packs),https://kenney.nl/,3d-model-library,"fantasy-rpg;sci-fi-canonical",100-1K,static-download,CC0,GREEN,unlisted,none,1,"200-400 CC0 weapons. Already Track B."
Meshy.ai (weapon library),https://www.meshy.ai/category/weapons-military,3d-model-library,"fantasy-rpg;sci-fi-canonical;historical-museum",20K-100K,web-scrape,CC0,AMBER,unlisted,none,2,"60073+ weapons CC0. No formal API. Previously probed (Meshy probe doc in research dir). ClaudeBot probe previously triggered discovery of Discipline #20."
