mechanism_name|game|mechanism_class|magnitude_pattern|stackability|trigger_condition|scope|gating|reversibility|resource_cost|build_defining_axis|investment_tier_coupling|genre_lineage|source_url
Set Item Bonus (Tal Rasha's Wrappings)|Diablo 2|set_bonus|Partial set bonuses (2/3/4/full); Tal Rasha full: +10% to all elemental skills + major MF bonus + attributes; incremental bonuses at each partial set threshold; additive within set bonuses|incremental per piece; stacking partial bonuses; full set = all bonuses active|always-on (pieces equipped)|character_wide|endgame (drop-gated; tradeable)|respec-able (unequip pieces)|item acquisition (farm or trade)|element/class archetype tuning; MF stacking; FCR optimization|Mid-to-endgame depending on piece availability|Original to Diablo 1/D2; derivative of D1 unique item concept extended to multi-piece cohesion|https://classic.battle.net/diablo2exp/items/sets/sets7.shtml
Charm (Grand Charm Skiller)|Diablo 2|consumable|+1 to specific class skill tree; held in inventory (not equipped); takes 1x3 inventory space; multiple skillers stack additively; spatial trade-off (one full inventory = ~5-6 grand charms)|additive per charm held; stacks with multiple copies; unlimited count up to inventory space|always-on (in inventory)|character_wide|endgame (farm-gated; specific unique affixes)|respec-able (drop or sell)|inventory space opportunity cost|quantitative skill-level amplification; spatial optimization game within a game|Endgame (farming specific skillers with useful suffixes)|Original to D2 (Lord of Destruction); no direct precursor|https://www.wowhead.com/diablo-2/guide/charms-prefixes-suffixes-benefits
Class Set Bonus 6-piece (D3)|Diablo 3|set_bonus|6pc bonus = primary build archetype identity; e.g., Marauder 6pc: all skills deal 12,000% increased damage per active Sentry; scales with sentry count; multiplicative multiplier tied to class mechanic count|single-instance per set (only one 6pc set active; Ring of Royal Grandeur can reduce requirement by 1)|always-on (6 pieces equipped)|single_skill or character_wide|endgame (seasonal drop; Haedrig's Gift provides set early seasonally)|respec-able (unequip set)|item acquisition (drops; Haedrig's Gift 1x per season)|entire build archetype identity; defines which skills are used; which mechanics matter|Endgame (or early seasonal via Haedrig's Gift)|Original to D3 (Reaper of Souls expansion 2014); derivative of D2 set item concept; extended to 12,000% magnitude territory|https://www.icy-veins.com/d3/sets/embodiment-of-the-marauder
Kanai's Cube (extracted legendary power)|Diablo 3|extractable_power|3 power slots (weapon / armor / jewelry); each slot = any legendary's unique power extracted; always activates at max potency; cannot equip same power twice; Season 22 adds 4th slot (any type)|single-instance per slot; 3 simultaneous powers from different categories|always-on (extracted and active)|character_wide|endgame (Cube unlocked in Act III; powers require farming specific legendaries)|respec-able (swap extracted power)|legendary item acquisition + Cube materials|adds 3 legendary effects without using item slots; enables builds impossible via gear alone (e.g., Ring of Royal Grandeur in Cube)|Endgame (requires specific legendaries per power)|Original to D3 (Patch 2.3, 2015); first implementation of portable/extractable legendary power system in ARPG genre|https://maxroll.gg/d3/resources/kanais-cube
Legendary Gem (D3)|Diablo 3|gem_slot|Socket into rings/amulet only (3 total slots); primary effect + Rank 25 secondary unlock; upgradeable via GR (upgrade success rate based on tier vs rank); multiplicative at Legendary status; e.g., Bane of Trapped: +15% to CC'd enemies (→60% at rank 150); Legacy of Dreams: +3.75% per legendary equipped (→9750% total)|single-instance per gem (one copy per character in jewelry); cannot double same gem|always-on + conditional secondary|character_wide|mid-game unlock; endgame scaling (rank 25 = new mechanic; rank 150 = max)|respec-able (swap gem)|GR time investment (leveling)|conditional damage amplification; rank 25 secondary adds new mechanic layer|Mid-game (GR unlock); endgame scaling|Original to D3 (Patch 2.1, 2014); derivative of PoE unique jewel concept; LoD gem = derivative of build-around legendary concept|https://maxroll.gg/d3/resources/legendary-gem-mechanics
Legendary Aspect (D4)|Diablo 4|extractable_power|Orange text on legendary item; power extracted from legendaries to Codex (Season 4+: auto-extract on salvage; Codex stores best roll seen); re-imprinted onto compatible item slot; replaces item's existing legendary affix; scales with item power level; categories: Offensive/Defensive/Resource/Utility/Mobility|single-instance per item slot (one aspect per item); can have different aspects on different slots|always-on (imprinted)|single_skill or character_wide|mid-game (Codex dungeon unlocks early; high-tier roll versions = endgame)|respec-able (re-imprint different aspect)|Codex aspects: free reuse; extracted aspects: item + materials|fundamental skill behavior modification; build identity via which aspect combination is assembled|Mid-game (Codex) to endgame (max-roll versions)|Derivative of D3 Kanai's Cube concept; extended to per-slot imprinting system|https://www.icy-veins.com/d4/guides/legendary-aspects-codex-of-power-guide/
Paragon Glyph (D4)|Diablo 4|passive_tree_node|Socket into Paragon boards (1 per board; up to 5 boards); scales with attribute nodes within radius (radius 3→4→5 as glyph levels); Legendary status at level 51 unlocks multiplicative damage bonus (5.5%[x] at L51 → 15.4%[x] at L150); Fulminate example: +21.1% lightning damage per 5 Dex allocated in range at max|single-instance per board socket; stacks across boards via different glyph types|always-on (socketed)|character_wide|endgame (Paragon unlocks at level 70; glyph to Legendary = endgame Pit farming)|respec-able (can rearrange paragon allocation)|Pit farming time investment|multiplicative damage multiplier; attribute-node interaction creates contextual scaling optimization|Endgame (level 70+; Legendary status = deep endgame)|Original to D4; derivative of D3 Paragon concept; PoE passive tree influence|https://maxroll.gg/d4/resources/paragon-boards
Tempering (Blacksmith)|Diablo 4|extractable_power|Add 1 custom affix from Temper Manual category (Offense/Defense/Mobility/Resource/Utility/Weapon) to non-unique gear; 3 reroll attempts per item + 1 more per Greater Affix; affix rolls within magnitude range; can upgrade tempered affix to Greater Affix (+1.5x power)|single-instance (one tempered affix per item); permanent per attempt (consumes attempt)|always-on (imprinted)|single_skill or stat|mid-to-endgame (Temper Manuals from vendors/drops)|permanent per item (3-attempt limit; item can be "bricked" with bad affix and no attempts remaining)|materials (Tempering materials + Manual)|adds 5th affix to 4-affix item; skill-specific power addition; crafting-layer build customization|Mid-to-endgame|Original to D4 (Season 4 2024 overhaul); no direct prior ARPG equivalent at this specificity|https://www.icy-veins.com/d4/guides/tempering-guide/
Uber/Mythic Unique (D4)|Diablo 4|item_slot|5 fixed affixes all at maximum roll; universal power floor; e.g., Tyrael's Might: 20% global damage reduction + ~80% resistance + +maximum resistance; The Grandfather: universal critical damage bonus + life + damage; cannot have aspect imprinted|single-instance (one equipped); best-in-slot for virtually all builds|always-on (equipped)|character_wide|Mageblood-tier (Uber boss drops; extreme RNG)|respec-able (unequip)|extreme time investment + Uber boss access|defense or offense ceiling lift; near-universal BIS; endgame power plateau|Mageblood-tier only|Derivative of D2 high-tier unique concept; D3 Primal Ancient equivalent; D4 original Mythic tier|https://diablo4.wiki.fextralife.com/All+Mythic+Items
Skill Specialization Tree (Last Epoch)|Last Epoch|intra_skill_tree|20 skill points per specialization slot; nodes range from flat damage (+15% fire) to transformation nodes (change damage type / add minion behavior / add projectile / enable channeling / alter geometry); full transformation possible within single skill's tree; skill-level items can exceed 20-point cap|additive per node; node investment is per-point; no global cap beyond 20 (items extend)|always-on (allocated)|single_skill|early-accessible (first slot at level 4; 5 total slots; full 20 points = level ~75 skill)|respec-able (individual node point removal)|none (skill points)|complete skill behavior transformation: damage type / geometry / resource model / proc behavior / minion interaction|Early-mid accessible; full utilization = mid-game|Original to Last Epoch (Eleventh Hour Games); no direct precursor; LE-original intra-skill tree concept|https://maxroll.gg/last-epoch/resources/passives-and-skills
Blessing (Last Epoch)|Last Epoch|seasonal_mechanic|Permanent upgrade from Monolith boss kill; one affix per boss slot; wide range (power increase to drop rate improvements); persistent globally across all content; irreversible per choice|additive; stacks across different boss blessings|always-on (permanent)|character_wide|endgame (Monolith of Fate progression)|irreversible (cannot un-choose)|none (kill boss)|permanent progression layer; minor individual impact; cumulative background power|Endgame (Monolith)|Original to Last Epoch; no direct precursor|https://maxroll.gg/last-epoch/resources/gear-walkthrough
Idol (Last Epoch)|Last Epoch|consumable|Inventory grid items (up to 20 slots); shapes vary (1x1 / 2x1 / 1x2 / etc.); affixes include build-enabling rolls; similar to D2 Charms but in a dedicated grid; some idols have exclusive mechanics unavailable elsewhere|additive per idol; stacks with multiple idols; constrained by grid space|always-on (in dedicated idol grid)|character_wide|drop-gated (throughout game)|respec-able (remove idol from grid)|idol grid space opportunity cost|flexible minor-amplification layer; some idols are build-enabling for specific mechanics|Throughout game; high-value idols = endgame|Derivative of D2 Charm concept; LE implementation uses dedicated grid vs inventory|https://maxroll.gg/last-epoch/resources/idols-guide
Unique Item (skill-modifying) (Last Epoch)|Last Epoch|item_affix|Unique items can grant +N to specific skill tree nodes; exceed the 20-node cap; alter skill behavior directly; e.g., items with additional skill tree points in specific node clusters; some uniques enable node paths otherwise inaccessible at normal skill level|single-instance per item slot; extends skill tree investment beyond normal cap|always-on (equipped)|single_skill|mid-to-endgame (drop-gated)|respec-able (unequip)|item acquisition (farm or trade)|extends or redirects skill specialization tree investments; some uniques unlock otherwise-impossible node combinations|Mid-to-endgame|Original to Last Epoch; interaction with LE skill trees is LE-specific|https://lastepoch.fandom.com/wiki/Skills
Dual Mastery (Grim Dawn)|Grim Dawn|class_combo|Two masteries chosen from 9 (36 combinations base; 66 with expansions); each mastery has 26+ skills and modifiers; synergy between masteries is primary build identity; damage type coupling critical (mismatched types = power dilution)|single-instance (exactly 2 masteries per character)|always-on (character-defining)|character_wide|early-game (second mastery available very early; first mastery at character creation)|permanent (cannot change mastery after selection)|none (player choice)|entire character archetype identity; defines skill access / damage types / synergies permanently|Early-game decision with permanent endgame consequences|Original to Titan Quest (2006) which GD's developers created; Grim Dawn is its spiritual successor|https://techraptor.net/gaming/guides/grim-dawn-mastery-build-guide
Devotion Constellation (Grim Dawn)|Grim Dawn|passive_tree_node|105 constellations; 55 devotion points; 3 tiers (T1 = 1 affinity required; T2 = 8-15; T3 = 22+); terminal node = Celestial Power (proc skill); Celestial Powers ATTACH to a mastery or item skill; proc rate depends on attached skill's attack frequency; experience progression on Celestial Powers|additive per constellation star; Celestial Power proc = conditional per attachment|conditional (attached-skill-procs)|character_wide (proc: single_skill linked)|mid-game (shrine exploration)|respec-able (Aether Crystal cost)|Aether Crystals for respec|adds proc-attached secondary attack behaviors; constellation path adds attribute synergies|Mid-game through endgame|Original to Grim Dawn; no direct prior ARPG equivalent for proc-attachment system|https://grimdawn.fandom.com/wiki/Devotion
Class Engraving (Lost Ark)|Lost Ark|passive_tree_node|2 class-specific engravings per class (mutually exclusive playstyle splits); e.g., Sorceress Igniter: amplifies Arcane Rupture burst window; Reflux: disables Arcane Rupture entirely + enables steady-damage rotation; stack to level 3 via accessories + ability stones|single-archetype selection (effectively choose one of two); level 3 = maximum engraving power|always-on (engraving points invested)|character_wide|mid-to-endgame (engraving point accumulation via accessories)|respec-able (different accessory loadout)|accessory acquisition cost (high-end accessories)|playstyle archetype split: tempo (burst vs sustained); kit selection; rotation philosophy|Mid-to-endgame (high-end accessories expensive)|Original to Lost Ark; derivative of class specialization concept in general; Korean ARPG lineage|https://mobalytics.gg/blog/lost-ark/lostark-sorcerer-guide-builds-engravings-tips/
General Engraving (Lost Ark)|Lost Ark|passive_tree_node|~100 non-class engravings; e.g., Grudge: +20% damage to bosses + -20% damage taken; stackable to level 3; most meta builds run 2 class + 3-4 general engravings|additive level stacks; multiple different engravings stack with each other|always-on (invested)|character_wide|endgame (high-tier accessory farming)|respec-able (accessory swap)|accessory acquisition + engraving book cost|universal damage/defense amplifiers; conditional mechanics on some engravings|Endgame|Korean ARPG convention; derivative of passive buff system|https://gamertweak.com/lost-ark-engravings/
Tripod (Lost Ark)|Lost Ark|intra_skill_tree|3 tiers per skill; T1 = minor (speed/meter/cost); T2 = damage/debuff; T3 = significant behavior alteration (e.g., adds AoE / changes hit pattern / adds stagger); transferable between items via Tripod Transfer system|single-selection per tier per skill (choose one of 3 tripod options per tier)|always-on (selected)|single_skill|early-accessible (level 4 / 7 / 10); T3 Tripod transfer = endgame|respec-able (select different tripod; high-tier tripod transfer = some cost)|skill point investment; tripod transfer = materials|per-skill behavior modification: adds AoE / geometry change / debuff / behavior alteration|Early-accessible; T3 transfer optimization = endgame|Original to Lost Ark; conceptually derivative of skill rune systems (D3)|https://vulkk.com/2022/02/11/what-are-tripods-in-lost-ark-and-how-to-use-them/
Gate of Fates (Wolcen)|Wolcen|passive_tree_node|3 concentric rings (inner=3 sections / middle=6 / outer=12); sections color-coded by archetype (red=warrior / green=rogue / purple=mage); rings physically rotate to create alignment between sections; hybridization via rotation; no class-lock; any archetype accessible via ring path|additive per node allocated; ring rotation is free but alignment determines available nodes|always-on (allocated)|character_wide|progressive (level-gated point unlocks)|respec-able (rotate + reallocate)|passive points|class-archetype hybridization; only mechanism for character identity (no separate class system)|Progressive with level|Original to Wolcen; inspired by PoE passive tree but adds physical rotation mechanic; no direct precursor|https://wolcen.fandom.com/wiki/Gate_of_Fates
